solver,topology,scenario,scheduler,num_agents,seed,is_baseline,avg_throughput,total_tasks,unassigned_ratio,wait_ratio,fault_tolerance,critical_time,deficit_recovery,throughput_recovery,mtbf,recovery_tick,survival_rate,impacted_area,deficit_integral,cascade_depth_avg,cascade_spread_avg,structural_cascade_avg,structural_cascade_max,mitigation_delta_avg,itae,rapidity,attack_rate,fleet_utilization,pbs_partial_rate,solver_step_avg_us,solver_step_max_us,wall_time_ms
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,42,true,0.7333,220,0.0076,0.3997,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.8667,4863911.9,41123782.0,1459183
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,42,false,1.1033,331,0.0112,0.1827,2.0278,0.0746,92.00,1.00,,198,1.0000,50.4545,1222,0.11,1.13,6.05,10.00,-4.92,3143.9333,,0.3981,0.9891,0.6333,10164003.7,56276092.0,3050000
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,42,true,1.0600,318,0.0098,0.2013,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.8200,320035.4,1458952.0,96020
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,42,false,0.5233,157,0.0048,0.6134,0.2030,0.3234,,1.00,,,1.0000,-50.6289,16780,0.00,1.00,5.15,10.00,-4.15,6734.5000,,0.2407,0.9981,0.8800,436030.3,1805737.0,131319
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,42,true,1.0000,300,0.0093,0.2377,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.7600,1244677.7,10296616.0,373408
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,42,false,1.1167,335,0.0103,0.1815,1.1944,0.0896,152.00,1.00,,264,1.0000,11.6667,3478,0.00,1.00,5.31,9.00,-4.31,5461.2333,,0.2407,0.9901,0.6733,1191273.8,9928093.0,357908
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,42,true,1.1933,358,0.0121,0.1160,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.7533,3790482.0,24270276.0,1137149
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,42,false,1.0800,324,0.0113,0.2049,0.8595,0.1443,,1.00,,,1.0000,-9.4972,3084,0.04,1.04,5.63,10.00,-4.59,7215.6762,,0.2593,0.9889,0.7733,3871343.0,27167920.0,1161886
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,42,true,1.2500,375,0.0130,0.1214,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.8533,44597066.2,1765843910.0,13379148
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,42,false,1.0267,308,0.0107,0.2386,0.7433,0.1542,,1.00,,,1.0000,-17.8667,5949,0.07,1.07,6.36,11.00,-5.29,7496.8333,,0.2778,0.9897,0.8200,30871662.0,160596768.0,9262018
