matrix,topology,scenario,scheduler,num_agents,metric,solver_a,solver_b,n_a,n_b,mean_a,mean_b,mean_diff,t_stat,p_raw,cliffs_d,p_bh,significant_bh_q05
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,40,attack_rate,pibt,rhcr_pbs,30,30,0.20000000000000007,0.20000000000000007,0.0,0.0,1.0,0.0,1.0,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,40,attack_rate,pibt,token_passing,30,30,0.20000000000000007,0.20000000000000007,0.0,0.0,1.0,0.0,1.0,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,40,attack_rate,rhcr_pbs,token_passing,30,30,0.20000000000000007,0.20000000000000007,0.0,0.0,1.0,0.0,1.0,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,40,critical_time,pibt,rhcr_pbs,30,30,0.2985833333333333,0.20307999999999998,0.09550333333333333,9.822382234524218,1.5678948220923239e-12,0.8911111111111111,1.8448895739953012e-11,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,40,critical_time,pibt,token_passing,30,30,0.2985833333333333,0.3235966666666666,-0.025013333333333276,-3.1825166410647268,0.0024966617319724382,-0.39222222222222225,0.007238781038080251,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,40,critical_time,rhcr_pbs,token_passing,30,30,0.20307999999999998,0.3235966666666666,-0.1205166666666666,-11.086643645676526,1.6216973821086581e-15,-0.94,2.898527472832184e-14,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,40,fault_tolerance,pibt,rhcr_pbs,30,30,0.6522233333333335,0.6070633333333334,0.04516000000000009,1.4489080777032304,0.15292009049709396,0.17777777777777778,0.2748411308093863,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,40,fault_tolerance,pibt,token_passing,30,30,0.6522233333333335,0.5839633333333335,0.06825999999999999,2.0929292818639755,0.04101723777445973,0.2644444444444444,0.08991586219932649,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,40,fault_tolerance,rhcr_pbs,token_passing,30,30,0.6070633333333334,0.5839633333333335,0.0230999999999999,0.6566684474230866,0.5140056503639566,0.06222222222222222,0.6622043597754623,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,40,itae,pibt,rhcr_pbs,30,30,27762.949436666662,21365.358333333326,6397.591103333336,9.317928838539988,3.4625449508055624e-12,0.8777777777777778,3.819619898857386e-11,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,40,itae,pibt,token_passing,30,30,27762.949436666662,30322.85555333334,-2559.906116666676,-4.1255642175305045,0.00013885699486744198,-0.56,0.0005343830104681633,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,40,itae,rhcr_pbs,token_passing,30,30,21365.358333333326,30322.85555333334,-8957.497220000012,-11.354278153607275,2.98915457845336e-16,-0.9477777777777778,5.781762006542663e-15,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,40,rapidity,pibt,rhcr_pbs,30,30,6.5,22.866666666666667,-16.366666666666667,-2.0387247139519413,0.04797327195549757,-0.2788888888888889,0.1037339356832505,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,40,rapidity,pibt,token_passing,30,29,6.5,15.03448275862069,-8.53448275862069,-1.234973059033854,0.22337515715186884,-0.0896551724137931,0.3728200022440175,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,40,rapidity,rhcr_pbs,token_passing,30,29,22.866666666666667,15.03448275862069,7.832183908045977,0.828388872279383,0.41100408281144185,0.17701149425287357,0.5661831852973228,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_50pct,closest,40,critical_time,pibt,rhcr_pbs,30,30,0.3742333333333333,0.2787266666666666,0.09550666666666668,15.277401017193036,6.099740880427948e-22,0.9944444444444445,2.0029846798056425e-20,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_50pct,closest,40,critical_time,pibt,token_passing,30,30,0.3742333333333333,0.39459666666666665,-0.020363333333333344,-2.571303504674231,0.013199471285377835,-0.36444444444444446,0.03287064101402735,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_50pct,closest,40,critical_time,rhcr_pbs,token_passing,30,30,0.2787266666666666,0.39459666666666665,-0.11587000000000003,-14.320847327352599,1.464283147737723e-19,-0.9911111111111112,3.901071329444651e-18,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_50pct,closest,40,fault_tolerance,pibt,rhcr_pbs,30,30,0.30968000000000007,0.26505666666666666,0.044623333333333404,2.0932442096835824,0.04071196969759091,0.26666666666666666,0.08940171261741581,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_50pct,closest,40,fault_tolerance,pibt,token_passing,30,30,0.30968000000000007,0.26700666666666667,0.042673333333333396,1.862293199235552,0.06774299214446786,0.28444444444444444,0.14025381951317978,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_50pct,closest,40,fault_tolerance,rhcr_pbs,token_passing,30,30,0.26505666666666666,0.26700666666666667,-0.0019500000000000073,-0.08447714744579067,0.9329730868647025,0.011111111111111112,0.9964886525362783,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_50pct,closest,40,itae,pibt,rhcr_pbs,30,30,31831.54444666667,24407.733880000003,7423.810566666667,13.607422981382314,1.7327114895946697e-19,1.0,4.5307196727919885e-18,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_50pct,closest,40,itae,pibt,token_passing,30,30,31831.54444666667,34201.64167333333,-2370.0972266666613,-3.483711710282768,0.001067192332776148,-0.52,0.003326436145430289,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_50pct,closest,40,itae,rhcr_pbs,token_passing,30,30,24407.733880000003,34201.64167333333,-9793.907793333328,-13.71169854631811,5.511298622938609e-19,-0.9622222222222222,1.3417161475153993e-17,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_50pct,closest,40,rapidity,pibt,rhcr_pbs,18,11,48.833333333333336,19.454545454545453,29.378787878787882,0.8274677744431188,0.4153775879622351,0.08080808080808081,0.5699836289627561,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_50pct,closest,40,rapidity,pibt,token_passing,18,11,48.833333333333336,11.181818181818182,37.651515151515156,1.1864294564824927,0.24844060946309118,0.08080808080808081,0.4029032118652107,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_50pct,closest,40,rapidity,rhcr_pbs,token_passing,11,11,19.454545454545453,11.181818181818182,8.272727272727272,0.36867494437257964,0.7172157480211568,0.008264462809917356,0.8280528505362824,False
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,attack_rate,pibt,rhcr_pbs,30,30,0.9974999999999999,0.9974999999999999,0.0,0.0,1.0,0.0,1.0,False
