scheduler,scenario,n_seeds,ft_mean,ft_ci95_lo,ft_ci95_hi,comparison_p_raw,comparison_p_adj,cliffs_d
random,burst_20pct,90,0.6875,0.6508,0.7242,0.0500,0.1001,0.169
random,burst_50pct,90,0.4736,0.3938,0.5534,0.0223,0.0668,0.197
random,wear_medium,90,0.7437,0.7089,0.7785,0.0686,0.1029,0.157
random,wear_high,90,0.2799,0.2236,0.3363,0.0000,0.0000,0.449
random,zone_50t,90,0.9792,0.9456,1.0128,0.3300,0.3960,-0.084
random,intermittent_80s80m15r,90,0.8101,0.7737,0.8465,0.6257,0.6257,0.042
closest,burst_20pct,90,0.7754,0.6734,0.8774,0.0500,0.1001,0.169
closest,burst_50pct,90,0.4866,0.4421,0.5312,0.0223,0.0668,0.197
closest,wear_medium,90,0.7513,0.7269,0.7758,0.0686,0.1029,0.157
closest,wear_high,90,0.2842,0.2698,0.2987,0.0000,0.0000,0.449
closest,zone_50t,90,0.9573,0.9231,0.9915,0.3300,0.3960,-0.084
closest,intermittent_80s80m15r,90,0.7850,0.7548,0.8152,0.6257,0.6257,0.042
