solver,topology,scenario,scheduler,num_agents,seed,is_baseline,avg_throughput,total_tasks,unassigned_ratio,wait_ratio,fault_tolerance,critical_time,deficit_recovery,throughput_recovery,mtbf,recovery_tick,survival_rate,impacted_area,deficit_integral,cascade_depth_avg,cascade_spread_avg,itae,rapidity,attack_rate,fleet_utilization,solver_step_avg_us,solver_step_max_us,wall_time_ms
pibt,warehouse_single_dock,burst_20pct,random,40,42,true,0.4040,202,0.0104,0.0424,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.6,1249.0,20
pibt,warehouse_single_dock,burst_20pct,random,40,42,false,0.3060,153,0.0077,0.0537,0.7066,0.2519,,1.00,,,0.8000,-24.2574,9498,0.00,1.00,20824.0000,40.00,0.2000,0.7925,31.4,1202.0,16
pibt,warehouse_single_dock,burst_20pct,random,40,123,true,0.4340,217,0.0114,0.0463,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.3,1167.0,20
pibt,warehouse_single_dock,burst_20pct,random,40,123,false,0.3160,158,0.0082,0.1286,0.6811,0.2643,,1.00,,,0.8000,-27.1889,10265,0.00,1.00,23564.6667,0.00,0.2000,0.7918,41.6,1782.0,21
pibt,warehouse_single_dock,burst_20pct,random,40,456,true,0.4320,216,0.0110,0.0407,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,55.4,1606.0,30
pibt,warehouse_single_dock,burst_20pct,random,40,456,false,0.3400,170,0.0086,0.0831,0.7386,0.2494,,1.00,,,0.8000,-21.2963,10030,0.00,1.00,21960.3333,0.00,0.2000,0.7918,32.4,1189.0,16
pibt,warehouse_single_dock,burst_20pct,random,40,789,true,0.4100,205,0.0104,0.0432,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.1,1201.0,20
pibt,warehouse_single_dock,burst_20pct,random,40,789,false,0.3280,164,0.0087,0.0710,0.7630,0.2319,,1.00,,,0.8000,-20.0000,7765,0.00,1.00,21604.3333,0.00,0.2000,0.7913,36.5,1959.0,18
pibt,warehouse_single_dock,burst_20pct,random,40,1024,true,0.4180,209,0.0109,0.0421,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,35.2,1159.0,20
pibt,warehouse_single_dock,burst_20pct,random,40,1024,false,0.3240,162,0.0087,0.0518,0.7330,0.2369,,1.00,,,0.8000,-22.4880,9258,0.00,1.00,22636.0000,0.00,0.2000,0.7916,31.7,1180.0,16
pibt,warehouse_single_dock,burst_20pct,random,40,2048,true,0.4180,209,0.0109,0.0449,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,47.3,6458.0,26
pibt,warehouse_single_dock,burst_20pct,random,40,2048,false,0.3520,176,0.0088,0.0434,0.8059,0.2494,,1.00,,,0.8000,-15.7895,6234,0.00,1.00,22673.6667,0.00,0.2000,0.7915,41.2,1868.0,20
pibt,warehouse_single_dock,burst_20pct,random,40,3141,true,0.4240,212,0.0106,0.0412,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,38.3,1979.0,25
pibt,warehouse_single_dock,burst_20pct,random,40,3141,false,0.2980,149,0.0076,0.0891,0.6420,0.2569,,1.00,,,0.8000,-29.7170,12136,0.00,1.00,22613.5000,0.00,0.2000,0.7928,30.7,1174.0,15
pibt,warehouse_single_dock,burst_20pct,random,40,9999,true,0.4120,206,0.0106,0.0430,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,48.5,1573.0,27
pibt,warehouse_single_dock,burst_20pct,random,40,9999,false,0.2780,139,0.0070,0.0901,0.6193,0.2868,,1.00,,,0.8000,-32.5243,14193,0.00,1.00,22921.5000,38.00,0.2000,0.7931,32.6,1175.0,16
pibt,warehouse_single_dock,burst_20pct,random,40,1337,true,0.3980,199,0.0103,0.0413,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.4,1149.0,20
pibt,warehouse_single_dock,burst_20pct,random,40,1337,false,0.2820,141,0.0075,0.0694,0.6485,0.2668,,1.00,,,0.8000,-29.1457,10448,0.00,1.00,23744.3333,109.00,0.2000,0.7928,30.8,1182.0,15
pibt,warehouse_single_dock,burst_20pct,random,40,7777,true,0.4400,220,0.0114,0.0415,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,57.5,2152.0,39
pibt,warehouse_single_dock,burst_20pct,random,40,7777,false,0.3480,174,0.0090,0.0799,0.7444,0.2319,,1.00,,,0.8000,-20.9091,9073,0.00,1.00,20451.0000,0.00,0.2000,0.7914,41.0,1182.0,20
pibt,warehouse_single_dock,burst_20pct,random,40,11,true,0.4280,214,0.0113,0.0423,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,42.3,3195.0,31
pibt,warehouse_single_dock,burst_20pct,random,40,11,false,0.2700,135,0.0072,0.1563,0.5486,0.2793,,1.00,,,0.8000,-36.9159,13297,0.00,1.00,23677.8333,0.00,0.2000,0.7936,29.5,1182.0,15
pibt,warehouse_single_dock,burst_20pct,random,40,22,true,0.4280,214,0.0112,0.0430,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.9,1237.0,23
pibt,warehouse_single_dock,burst_20pct,random,40,22,false,0.3320,166,0.0087,0.0575,0.7225,0.2743,,1.00,,,0.8000,-22.4299,8124,0.00,1.00,23025.6667,0.00,0.2000,0.7920,41.6,1178.0,21
pibt,warehouse_single_dock,burst_20pct,random,40,33,true,0.4260,213,0.0109,0.0424,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,50.7,4976.0,28
pibt,warehouse_single_dock,burst_20pct,random,40,33,false,0.3260,163,0.0083,0.0792,0.7159,0.2793,,1.00,,,0.8000,-23.4742,9789,0.00,1.00,23204.5000,30.00,0.2000,0.7920,31.2,1208.0,15
pibt,warehouse_single_dock,burst_20pct,random,40,44,true,0.4340,217,0.0112,0.0410,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,47.8,4008.0,38
pibt,warehouse_single_dock,burst_20pct,random,40,44,false,0.3520,176,0.0090,0.0572,0.7760,0.2519,,1.00,,,0.8000,-18.8940,7890,0.00,1.00,23788.3333,0.00,0.2000,0.7910,32.9,1184.0,16
