solver,topology,scenario,scheduler,num_agents,num_seeds,throughput_mean,throughput_std,throughput_ci95_lo,throughput_ci95_hi,tasks_mean,tasks_std,ft_n,ft_mean,ft_std,ft_ci95_lo,ft_ci95_hi,ct_n,critical_time_mean,critical_time_std,deficit_recovery_mean,deficit_recovery_std,throughput_recovery_mean,throughput_recovery_std,survival_rate_mean,impacted_area_mean,deficit_integral_mean,cascade_depth_mean,cascade_depth_std,cascade_spread_mean,cascade_spread_std,itae_mean,itae_std,rapidity_mean,rapidity_std,attack_rate_mean,attack_rate_std,fleet_utilization_mean,fleet_utilization_std,solver_step_us_mean,wall_time_ms_mean
pibt,warehouse_single_dock,burst_20pct,closest,40,30,0.3396,0.0275,0.3293,0.3499,169.8,13.8,30,0.7116,0.0795,0.6819,0.7412,30,0.2530,0.0194,NaN,NaN,1.00,0.00,0.8000,-23.1158,9647.2,0.00,0.00,1.00,0.00,22539.2972,1378.0061,11.87,21.95,0.2000,0.0000,0.7918,0.0009,35.6,18
pibt,warehouse_single_dock,burst_20pct,random,40,30,0.3018,0.0406,0.2866,0.3170,150.9,20.3,30,0.6578,0.1116,0.6162,0.6995,30,0.2613,0.0175,NaN,NaN,1.13,0.43,0.8000,-28.4750,11146.7,0.00,0.00,1.00,0.00,22932.4944,1344.4165,20.37,31.74,0.2000,0.0000,0.7926,0.0013,33.9,17
pibt,warehouse_single_dock,burst_50pct,closest,40,30,0.2172,0.0360,0.2038,0.2306,108.6,18.0,30,0.3661,0.0978,0.3296,0.4026,30,0.3050,0.0185,NaN,NaN,1.07,0.25,0.5000,-50.8552,21494.0,0.00,0.00,1.00,0.00,25631.9528,1755.0680,65.95,94.53,0.5000,0.0000,0.4958,0.0011,28.0,14
pibt,warehouse_single_dock,burst_50pct,random,40,30,0.1830,0.0327,0.1708,0.1952,91.5,16.3,30,0.3189,0.0914,0.2848,0.3530,30,0.3089,0.0204,NaN,NaN,1.40,0.89,0.5000,-56.6251,22598.3,0.00,0.00,1.00,0.00,25761.3167,1775.1008,86.68,115.43,0.5000,0.0000,0.4964,0.0010,25.1,12
pibt,warehouse_single_dock,intermittent_80s80m15r,closest,40,30,0.3376,0.0173,0.3311,0.3441,168.8,8.7,30,0.7160,0.0351,0.7029,0.7291,30,0.2463,0.0141,NaN,NaN,1.00,0.00,1.0000,-23.6066,10734.8,0.26,0.05,1.26,0.05,24287.8611,1345.3923,0.00,0.00,0.9983,0.0063,0.9896,0.0016,38.4,20
pibt,warehouse_single_dock,intermittent_80s80m15r,random,40,30,0.3155,0.0172,0.3091,0.3220,157.8,8.6,30,0.7106,0.0388,0.6961,0.7251,30,0.2506,0.0139,NaN,NaN,1.03,0.18,1.0000,-25.2251,11038.1,0.27,0.07,1.27,0.07,24532.1583,1462.1101,0.00,0.00,0.9975,0.0076,0.9903,0.0013,38.2,20
pibt,warehouse_single_dock,wear_high,closest,40,30,0.1106,0.0125,0.1059,0.1153,55.3,6.3,30,0.1748,0.0402,0.1597,0.1898,30,0.3288,0.0113,NaN,NaN,1.00,0.00,0.0367,-74.9940,31562.9,0.00,0.00,1.00,0.00,36058.1000,3349.6240,0.87,4.38,0.9633,0.0339,0.2222,0.0398,68.8,34
pibt,warehouse_single_dock,wear_high,random,40,30,0.0905,0.0098,0.0868,0.0941,45.2,4.9,30,0.1746,0.0393,0.1599,0.1893,30,0.3276,0.0141,NaN,NaN,1.00,0.00,0.0475,-78.5573,31865.1,0.00,0.00,1.00,0.00,35845.4139,3110.6998,2.00,5.43,0.9525,0.0466,0.2290,0.0457,73.7,37
pibt,warehouse_single_dock,wear_medium,closest,40,30,0.3223,0.0305,0.3109,0.3337,161.1,15.3,30,0.6497,0.0869,0.6172,0.6821,30,0.2600,0.0172,NaN,NaN,1.03,0.18,0.4208,-27.0472,7637.4,0.00,0.00,1.00,0.00,23136.9028,6646.3866,1.67,9.13,0.5792,0.0725,0.7251,0.0469,76.2,38
pibt,warehouse_single_dock,wear_medium,random,40,30,0.3004,0.0276,0.2901,0.3107,150.2,13.8,30,0.6448,0.0723,0.6178,0.6718,30,0.2594,0.0184,NaN,NaN,1.00,0.00,0.4225,-28.7966,8023.6,0.00,0.00,1.00,0.00,22958.8878,6640.5479,1.50,5.67,0.5775,0.0648,0.7265,0.0470,79.7,40
