solver,topology,scenario,scheduler,num_agents,num_seeds,throughput_mean,throughput_std,throughput_ci95_lo,throughput_ci95_hi,tasks_mean,tasks_std,ft_n,ft_mean,ft_std,ft_ci95_lo,ft_ci95_hi,ct_n,critical_time_mean,critical_time_std,deficit_recovery_mean,deficit_recovery_std,throughput_recovery_mean,throughput_recovery_std,survival_rate_mean,impacted_area_mean,deficit_integral_mean,cascade_depth_mean,cascade_depth_std,cascade_spread_mean,cascade_spread_std,itae_mean,itae_std,rapidity_mean,rapidity_std,attack_rate_mean,attack_rate_std,fleet_utilization_mean,fleet_utilization_std,solver_step_us_mean,wall_time_ms_mean
pibt,warehouse_dual_dock,burst_20pct,closest,120,30,0.8645,0.1035,0.8259,0.9032,432.3,51.8,30,0.4862,0.0884,0.4532,0.5192,30,0.4456,0.0490,NaN,NaN,1.53,1.17,0.8000,-40.8559,51799.8,0.00,0.00,1.00,0.00,46148.6533,2744.3034,5.08,14.42,0.2000,0.0000,0.7937,0.0012,104.1,52
pibt,warehouse_dual_dock,burst_20pct,closest,40,30,0.4274,0.0508,0.4084,0.4464,213.7,25.4,30,0.6522,0.1094,0.6114,0.6931,30,0.2986,0.0239,NaN,NaN,1.07,0.25,0.8000,-27.8259,14115.0,0.00,0.00,1.00,0.00,27762.9494,1873.6803,6.50,18.50,0.2000,0.0000,0.7902,0.0017,53.5,27
pibt,warehouse_dual_dock,burst_20pct,closest,80,30,0.6639,0.0863,0.6317,0.6962,332.0,43.2,30,0.5263,0.0992,0.4892,0.5633,30,0.4024,0.0450,NaN,NaN,1.47,0.78,0.8000,-37.6902,34729.5,0.00,0.00,1.00,0.00,40166.6194,2784.9590,32.43,46.01,0.2000,0.0000,0.7923,0.0022,75.9,38
pibt,warehouse_dual_dock,burst_50pct,closest,120,30,0.4925,0.0451,0.4756,0.5093,246.2,22.6,30,0.1661,0.0390,0.1516,0.1807,30,0.6401,0.0330,NaN,NaN,2.13,1.55,0.5000,-66.3106,91701.8,0.00,0.00,1.00,0.00,55642.7406,2611.1826,0.00,0.00,0.5000,0.0000,0.4976,0.0015,76.7,38
pibt,warehouse_dual_dock,burst_50pct,closest,40,30,0.2649,0.0385,0.2505,0.2793,132.5,19.3,30,0.3097,0.0819,0.2791,0.3402,30,0.3742,0.0233,NaN,NaN,1.37,0.61,0.5000,-55.2728,30470.8,0.00,0.00,1.00,0.00,31831.5444,1937.7242,48.83,126.01,0.5000,0.0000,0.4945,0.0048,36.3,18
pibt,warehouse_dual_dock,burst_50pct,closest,80,30,0.4008,0.0637,0.3770,0.4246,200.4,31.8,30,0.2162,0.0732,0.1889,0.2435,30,0.5443,0.0382,NaN,NaN,2.27,1.68,0.5000,-62.3838,62667.5,0.00,0.00,1.00,0.00,47374.9106,2944.3241,15.83,38.78,0.5000,0.0000,0.4962,0.0031,59.1,30
pibt,warehouse_dual_dock,intermittent_80s80m15r,closest,120,30,0.9643,0.0292,0.9534,0.9752,482.2,14.6,30,0.5902,0.0274,0.5799,0.6004,30,0.3777,0.0207,NaN,NaN,1.07,0.25,1.0000,-34.0180,50457.1,0.56,0.07,1.56,0.07,46069.2805,2435.8317,3.03,16.61,0.9997,0.0015,0.9906,0.0006,127.0,68
pibt,warehouse_dual_dock,intermittent_80s80m15r,closest,40,30,0.4606,0.0198,0.4532,0.4680,230.3,9.9,30,0.7341,0.0440,0.7177,0.7506,30,0.2785,0.0175,NaN,NaN,1.00,0.00,1.0000,-22.2147,13483.8,0.21,0.05,1.21,0.05,29224.2956,1895.1770,0.00,0.00,0.9975,0.0076,0.9864,0.0019,52.0,27
pibt,warehouse_dual_dock,intermittent_80s80m15r,closest,80,30,0.7636,0.0319,0.7517,0.7755,381.8,15.9,30,0.6599,0.0366,0.6463,0.6736,30,0.3427,0.0199,NaN,NaN,1.00,0.00,1.0000,-28.2990,30940.5,0.38,0.06,1.38,0.06,40636.4133,2170.1590,0.00,0.00,0.9983,0.0043,0.9889,0.0010,90.9,48
pibt,warehouse_dual_dock,wear_high,closest,120,30,0.3369,0.0209,0.3291,0.3447,168.5,10.4,30,0.1717,0.0328,0.1595,0.1840,30,0.6639,0.0163,NaN,NaN,1.00,0.00,0.0622,-76.9515,111074.0,0.00,0.00,1.00,0.00,80606.4793,4347.6112,0.13,0.73,0.9378,0.0283,0.2767,0.0318,360.1,181
pibt,warehouse_dual_dock,wear_high,closest,40,30,0.1561,0.0107,0.1521,0.1601,78.1,5.4,30,0.1758,0.0437,0.1595,0.1921,30,0.3979,0.0163,NaN,NaN,1.03,0.18,0.0608,-73.6398,40942.0,0.00,0.00,1.00,0.00,44394.6222,3634.1528,0.17,0.91,0.9392,0.0424,0.2376,0.0493,87.0,43
pibt,warehouse_dual_dock,wear_high,closest,80,30,0.2656,0.0210,0.2578,0.2734,132.8,10.5,30,0.1780,0.0346,0.1651,0.1909,30,0.5746,0.0173,NaN,NaN,1.00,0.00,0.0562,-75.0573,77288.8,0.00,0.00,1.00,0.00,67986.5869,4881.9040,1.47,6.54,0.9438,0.0291,0.2572,0.0326,226.6,114
pibt,warehouse_dual_dock,wear_medium,closest,120,30,0.9566,0.0741,0.9289,0.9843,478.3,37.1,30,0.5935,0.0560,0.5727,0.6144,30,0.3994,0.0298,NaN,NaN,1.03,0.18,0.4972,-34.5719,35293.0,0.00,0.00,1.00,0.00,53367.9972,8168.4698,0.00,0.00,0.5028,0.0364,0.7847,0.0204,434.9,218
pibt,warehouse_dual_dock,wear_medium,closest,40,30,0.4336,0.0362,0.4201,0.4471,216.8,18.1,30,0.6503,0.0737,0.6228,0.6778,30,0.2895,0.0196,NaN,NaN,1.00,0.00,0.4400,-26.8281,9895.8,0.00,0.00,1.00,0.00,27224.9428,7356.2738,0.00,0.00,0.5600,0.0665,0.7295,0.0476,105.0,52
pibt,warehouse_dual_dock,wear_medium,closest,80,30,0.7509,0.0564,0.7298,0.7719,375.4,28.2,30,0.6434,0.0615,0.6205,0.6664,30,0.3605,0.0276,NaN,NaN,1.03,0.18,0.4725,-29.4716,20960.1,0.00,0.00,1.00,0.00,43669.9406,8316.5148,0.00,0.00,0.5275,0.0507,0.7666,0.0318,249.8,125
pibt,warehouse_dual_dock,zone_50t,closest,120,30,1.3959,0.0315,1.3841,1.4076,697.9,15.8,30,0.9433,0.0247,0.9340,0.9525,30,0.2456,0.0186,387.00,0.00,1.33,0.76,1.0000,-4.5075,11360.8,0.40,0.10,1.40,0.10,42874.9088,2724.0059,17.83,27.84,0.2478,0.0692,0.9874,0.0006,124.4,62
