solver,topology,scenario,scheduler,num_agents,num_seeds,throughput_mean,throughput_std,throughput_ci95_lo,throughput_ci95_hi,tasks_mean,tasks_std,ft_n,ft_mean,ft_std,ft_ci95_lo,ft_ci95_hi,ct_n,critical_time_mean,critical_time_std,deficit_recovery_mean,deficit_recovery_std,throughput_recovery_mean,throughput_recovery_std,survival_rate_mean,impacted_area_mean,deficit_integral_mean,cascade_depth_mean,cascade_depth_std,cascade_spread_mean,cascade_spread_std,itae_mean,itae_std,rapidity_mean,rapidity_std,attack_rate_mean,attack_rate_std,fleet_utilization_mean,fleet_utilization_std,solver_step_us_mean,wall_time_ms_mean
pibt,warehouse_single_dock,burst_20pct,closest,20,30,0.1933,0.0275,0.1831,0.2036,96.7,13.7,30,0.7477,0.1467,0.6929,0.8024,30,0.1700,0.0142,NaN,NaN,1.10,0.31,0.8000,-20.3622,4869.0,0.00,0.00,1.00,0.00,15129.7778,1330.2797,8.97,16.84,0.2000,0.0000,0.7908,0.0017,21.4,11
pibt,warehouse_single_dock,burst_20pct,closest,40,30,0.3396,0.0275,0.3293,0.3499,169.8,13.8,30,0.7116,0.0795,0.6819,0.7412,30,0.2530,0.0194,NaN,NaN,1.00,0.00,0.8000,-23.1158,9647.2,0.00,0.00,1.00,0.00,22539.2972,1378.0061,11.87,21.95,0.2000,0.0000,0.7918,0.0009,36.6,18
pibt,warehouse_single_dock,burst_20pct,closest,60,30,0.4353,0.0503,0.4166,0.4541,217.7,25.1,30,0.6524,0.1027,0.6141,0.6908,30,0.3044,0.0277,NaN,NaN,1.17,0.53,0.8000,-27.7080,15599.8,0.00,0.00,1.00,0.00,28106.9639,2549.9876,30.27,64.92,0.2000,0.0000,0.7932,0.0011,49.8,25
pibt,warehouse_single_dock,burst_50pct,closest,20,30,0.1321,0.0231,0.1235,0.1408,66.1,11.6,30,0.4337,0.1189,0.3893,0.4781,30,0.1905,0.0116,NaN,NaN,1.13,0.35,0.5000,-45.6049,10715.0,0.00,0.00,1.00,0.00,16096.4667,1096.1736,35.57,49.88,0.5000,0.0000,0.4947,0.0014,16.7,8
pibt,warehouse_single_dock,burst_50pct,closest,40,30,0.2172,0.0360,0.2038,0.2306,108.6,18.0,30,0.3661,0.0978,0.3296,0.4026,30,0.3050,0.0185,NaN,NaN,1.07,0.25,0.5000,-50.8552,21494.0,0.00,0.00,1.00,0.00,25631.9528,1755.0680,65.95,94.53,0.5000,0.0000,0.4958,0.0011,27.1,13
pibt,warehouse_single_dock,burst_50pct,closest,60,30,0.2672,0.0406,0.2520,0.2824,133.6,20.3,30,0.3012,0.0805,0.2712,0.3313,30,0.3812,0.0293,NaN,NaN,1.27,0.69,0.5000,-55.6337,31893.7,0.00,0.00,1.00,0.00,32544.1167,2633.4638,34.50,71.82,0.5000,0.0000,0.4969,0.0008,37.0,18
pibt,warehouse_single_dock,intermittent_80s80m15r,closest,20,30,0.1951,0.0105,0.1911,0.1990,97.5,5.3,30,0.7630,0.0460,0.7458,0.7801,30,0.1675,0.0103,NaN,NaN,1.07,0.25,1.0000,-19.8042,5073.2,0.14,0.05,1.14,0.05,15890.9528,1151.4702,2.73,8.47,0.9983,0.0091,0.9887,0.0021,22.5,11
pibt,warehouse_single_dock,intermittent_80s80m15r,closest,40,30,0.3376,0.0173,0.3311,0.3441,168.8,8.7,30,0.7160,0.0351,0.7029,0.7291,30,0.2463,0.0141,NaN,NaN,1.00,0.00,1.0000,-23.6066,10734.8,0.26,0.05,1.26,0.05,24287.8611,1345.3923,0.00,0.00,0.9983,0.0063,0.9896,0.0016,39.7,21
pibt,warehouse_single_dock,intermittent_80s80m15r,closest,60,30,0.4292,0.0185,0.4223,0.4361,214.6,9.2,30,0.6511,0.0298,0.6400,0.6622,30,0.3006,0.0152,NaN,NaN,1.00,0.00,1.0000,-28.7544,17770.3,0.43,0.07,1.43,0.07,30597.7083,1885.4497,0.00,0.00,0.9989,0.0042,0.9918,0.0011,56.4,30
pibt,warehouse_single_dock,wear_high,closest,20,30,0.0626,0.0075,0.0598,0.0654,31.3,3.8,30,0.1699,0.0449,0.1532,0.1867,30,0.2014,0.0103,NaN,NaN,1.03,0.18,0.0350,-74.2495,16931.4,0.00,0.00,1.00,0.00,21142.0500,2212.1519,3.83,9.53,0.9650,0.0397,0.1995,0.0506,28.5,14
pibt,warehouse_single_dock,wear_high,closest,40,30,0.1106,0.0125,0.1059,0.1153,55.3,6.3,30,0.1748,0.0402,0.1597,0.1898,30,0.3288,0.0113,NaN,NaN,1.00,0.00,0.0367,-74.9940,31562.9,0.00,0.00,1.00,0.00,36058.1000,3349.6240,0.87,4.38,0.9633,0.0339,0.2222,0.0398,70.3,35
pibt,warehouse_single_dock,wear_high,closest,60,30,0.1427,0.0164,0.1366,0.1489,71.4,8.2,30,0.1743,0.0410,0.1590,0.1896,30,0.4190,0.0169,NaN,NaN,1.00,0.00,0.0511,-76.3049,44879.4,0.00,0.00,1.00,0.00,47151.8178,3917.1593,3.57,11.04,0.9489,0.0559,0.2505,0.0472,118.8,59
pibt,warehouse_single_dock,wear_medium,closest,20,30,0.1807,0.0198,0.1733,0.1881,90.3,9.9,30,0.6485,0.1012,0.6108,0.6863,30,0.1656,0.0141,NaN,NaN,1.00,0.00,0.4050,-25.6575,3845.0,0.00,0.00,1.00,0.00,12837.7833,4284.8218,0.17,0.91,0.5950,0.0855,0.6977,0.0600,34.5,17
pibt,warehouse_single_dock,wear_medium,closest,40,30,0.3223,0.0305,0.3109,0.3337,161.1,15.3,30,0.6497,0.0869,0.6172,0.6821,30,0.2600,0.0172,NaN,NaN,1.03,0.18,0.4208,-27.0472,7637.4,0.00,0.00,1.00,0.00,23136.9028,6646.3866,1.67,9.13,0.5792,0.0725,0.7251,0.0469,78.1,39
pibt,warehouse_single_dock,wear_medium,closest,60,30,0.4185,0.0416,0.4030,0.4341,209.3,20.8,30,0.6203,0.0867,0.5879,0.6527,30,0.3155,0.0213,NaN,NaN,1.00,0.00,0.4589,-30.5273,12486.5,0.00,0.00,1.00,0.00,31118.5094,6570.1900,0.00,0.00,0.5411,0.0527,0.7616,0.0342,138.1,69
pibt,warehouse_single_dock,zone_50t,closest,20,30,0.2376,0.0113,0.2334,0.2418,118.8,5.6,30,0.9709,0.0435,0.9546,0.9871,28,0.1496,0.0163,223.67,141.64,0.97,0.32,1.0000,-2.3442,1451.1,0.06,0.10,1.00,0.29,13987.4583,909.1321,3.93,12.60,0.2433,0.1569,0.9883,0.0035,22.9,11
